Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL,Tender process type,Tender document URL,Contract document URL,Performance information URL,Location service label,Location served URI
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42049D,,adult Residential Care - Maple Tree Care Ltd,,COMMUNITY SERVICES,,,adult Residential Care - Maple Tree Care Ltd,Adult care - nursing & residential,,,,,01-Apr-2012,31/03/2020,,,686326 ,Estimated,,MAPLE TREE CARE LTD,,,1146796 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42056,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,94470 ,Estimated,,TANGLEWOOD (LINCOLNSHIRE) LIMITED,,,75274 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063A,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,FAIRWAYS CARE LTD T/AS FAIRWAYS NURSING HOME,,,1165778 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063B,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,BARCHESTER HEALTHCARE HOMES LTD-KINGSLAND HOUSE,,,1027851 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063C,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,98713 ,Estimated,,B&C HOLT LTD T/A KINGSTON NURSING HOME,,,1040773 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063D,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,AKARI CARE LTD,,,1177800 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063E,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,ELDER UK LTD,,,1141778 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063F,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,SUNRISE OPERATIONS HALE BARNS,,,1057773 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063G,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,108979 ,Estimated,,FIELDHOUSE LTD,,,1093767 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063H,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,211200 ,Estimated,,CAVENDISH CLOSE LTD,,,1011873 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063I,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,CUERDEN ESTATES LTD T/A CUERDEN GRANGE NURSING HOME,,,1178775 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063J,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,(50074),Estimated,,FAIRWAYS CARE LTD T/AS FAIRWAYS NURSING HOME,,,1165778 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063K,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,PARK LANE HEALTHCARE (CROSTON PARK) LTD,,,1004774 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063L,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,2205 ,Estimated,,CARE UK LIMITED,01668247,,67300 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063M,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,YORKSHIRE PROPERTY INVESTMENT FUND LTD,,,1004803 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063N,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,109634 ,Estimated,,HC-ONE LIMITED,,,737844 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063O,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,95616 ,Estimated,,PARK VISTA CARE HOMES LTD,,,1054811 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063P,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,REGAL CARE TRADING LTD,,,1021794 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063R,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,HADRIAN HEALTH CARE T/AS SUNNYVIEW HOUSE,,,1011890 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063S,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,STONE HOUSE HOME LTD,,,980759 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42063T,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,DAVID LEWIS CENTRE,,,68124 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42066A,,Out of County residential care for adults at St Audrey's,,COMMUNITY SERVICES,,,Out of County residential care for adults at St Audrey's,Adult care - nursing & residential,,,,,01-Apr-2012,,,,52110 ,Estimated,,HERITAGE CARE LIMITED,gb/07211819,,69759 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42066B,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,MOSS COTTAGE (CAREWORLDWIDE ASHTON),,,1027880 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42066C,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,CARING HOMES HEALTHCARE GROUP LIMITED,04258255,,127225 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42066D,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,VICTORGUARDCARE PLC T/A LAUREL BANK NURSING HOME,,,1061818 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42066E,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,RANC CARE HOMES LIMITED,,,73795 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42066F,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,FOUR SEASONS HOMES NO 4 LIMITED,,,69048 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42083A,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,175718 ,Estimated,,LEONARD CHESHIRE DISABILITY,,,147400 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42083B,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,YELDALL CHRISTIAN CENTRES,,,1199765 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42083C,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,396211 ,Estimated,,TLC CARE HOMES LIMITED,gb/03193730,,75251 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42083D,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,29973 ,Estimated,,GEM CARE 6 LTD,,,1178766 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42083E,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,SPRINGDENE NURSING & CARE HOMES LTD,,,1185788 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42083F,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,218157 ,Estimated,,TLC CARE HOMES LIMITED,gb/03193730,,75251 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42093A,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,ROSEHURST CARE LTD,,,1176761 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42093B,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,167607 ,Estimated,,HOLYWELL PARK LTD,,,1085829 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42093C,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,PHOENIX FUTURES (PHOENIX HOUSE LTD),,,891780 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42093D,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,322214 ,Estimated,,ADIEMUS CARE LIMITED,07747136,,678720 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42093E,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,25056 ,Estimated,,PENINSULAR CARE HOMES LTD CENTRAL ACCOUNT,,,1173779 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42093F,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,62400 ,Estimated,,HELLENDOORN HEALTHCARE LTD,,,139617 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42093G,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,,,,G L & L JONES T/A THE GRAYLYNS,,,1005839 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN42093H,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01-Apr-2012,,,,411992 ,Estimated,,BROOKDALE HEALTH CARE LTD,,,994797 ,,,,PART B SERVICES,,,Other,,,,,
