category,date,total_spend,YYYY,MM
Road Maintenance Contractor Payments,2011-05-01,89517.05,2011,5
Marketing Design Costs,2013-11-01,18512.5,2013,11
Carers Funding,2011-03-01,2200,2011,3
Telephone Rental & Calls,2011-05-01,102244.56,2011,5
Purchase Of Fixtures & Fittings,2011-03-01,2952.6,2011,3
Free Nursing Care  - High Band,2013-06-01,1813.2,2013,6
Non Staff Advertising - Statutory,2013-11-01,2834.22,2013,11
Care Leavers Rent & Accommodation,2014-07-01,36273.5,2014,7
Highway Lighting Repairs,2013-10-01,1050.43,2013,10
Bmpp Swimming Pool Plant,2014-06-01,579.6,2014,6
Highway Traffic Signals and Systems Outstation Communication Maintenance,2013-04-01,1732.44,2013,4
Compensation & Ex-Gratia Payments,2013-04-01,1000,2013,4
Bmpp Fencing,2013-11-01,864.6,2013,11
Partnership Salary Costs,2012-02-01,47030.45,2012,2
Estate / Site Management Costs,2012-06-01,22667.46,2012,6
Highway Traffic Signals and Systems Outstation Communication Maintenance,2013-05-01,6789.94,2013,5
Free Nursing Care  - High Band,2011-04-01,5984,2011,4
Child In Care Residential Home Out Of Norfolk,2011-08-01,314728.96,2011,8
Buildings Fixtures & Fittings,2012-07-01,2345,2012,7
Long Term Residential Care,2011-07-01,8138835.43,2011,7
DVD'S,2012-07-01,9595.14,2012,7
Estate / Site Management Costs,2014-07-01,70207.94,2014,7
Site Supervision,2012-11-01,6210.37,2012,11
Purchase Of Major Software,2012-01-01,12612.58,2012,1
Purchase Of Equipment,2013-10-01,995867,2013,10
Non Staff Advertising - Statutory,2013-02-01,6530.28,2013,2
Fixed Price Vehicle Maintenance,2011-02-01,40013.2,2011,2
Marketing Design Costs,2013-02-01,12321.73,2013,2
Equipment Purchases,2012-08-01,56829.88,2012,8
Cost of Providing Short Term Breaks,2012-10-01,428,2012,10
Bmpp School Equipment Inspection/Test,2014-02-01,9728.88,2014,2
Fire Alarms,2012-08-01,12027.61,2012,8
Building Maintenance & Repairs,2014-02-01,127718.29,2014,2
Estate / Site Management Costs,2011-01-01,88978.52,2011,1
Highway Structures Maintenance,2011-03-01,729.09,2011,3
Short Term Care with Nursing,2011-09-01,7501.7,2011,9
Equipment Purchases,2014-04-01,142315.55,2014,4
Bmpp Minor Building Repairs,2013-07-01,16502.51,2013,7
Building Alterations & Improvements,2013-12-01,12371.17,2013,12
General Disbursements,2014-08-01,700,2014,8
Materials Purchases,2014-01-01,163508.2,2014,1
Certificate - Electricity Power & Light,2012-09-01,210238.44,2012,9
Highway Patching to Carriageway and Footway,2011-12-01,103.1,2011,12
Broadband Virtual Private Network & Leased Lines,2013-01-01,99059.32,2013,1
Internal Recharge Footways Kerbs,2014-01-01,1000,2014,1
Housing Related Support-Other Bodies,2012-11-01,27291.76,2012,11
Direct Payment - One Off Payment To Carers,2013-02-01,2288,2013,2
Complaints Procedures,2011-04-01,3000,2011,4
Construction Cost-Adaptation/Improvement Building,2012-03-01,2282932.57,2012,3
Temporary Staff Admin & Clerical,2012-02-01,59757.29,2012,2
Sundry Purchases,2013-10-01,2386.55,2013,10
Short Term Residential Care,2012-03-01,159660,2012,3
Contract Transport  Hire,2014-06-01,1676830.94,2014,6
Grants To Other Bodies,2011-02-01,9450,2011,2
Agency Staff - Caretakers,2011-05-01,622.33,2011,5
Workshop Personal -Transport Duties,2013-10-01,3572.25,2013,10
Contract Plant & Machinery Hire,2014-08-01,122598.87,2014,8
Highway Winter Salt Usage,2014-06-01,12207.55,2014,6
Bmpp Fire Alarms,2014-06-01,5357.11,2014,6
Highway Traffic Signals and Systems Outstation Communication Maintenance,2013-12-01,2604.32,2013,12
Building Alterations & Improvements,2013-04-01,17843.02,2013,4
Personal Budget - Day Care,2013-08-01,111740.11,2013,8
Other Miscellaneous Expenses,2011-01-01,8049.82,2011,1
Laboratory Testing -Pre Works,2011-12-01,1824.63,2011,12
Agency Staff - Operational Hay & M,2014-06-01,1252.02,2014,6
Structural Building Work,2011-09-01,54863.71,2011,9
Certificate - Environment Control Systems,2012-08-01,11158.21,2012,8
Direct Payment - Supp Families with Disabilities-Dom.Care,2014-04-01,645.04,2014,4
Agency Staff - Permanent Teachers,2011-07-01,3963.44,2011,7
M&E Other (Schools),2014-08-01,91317.5,2014,8
Alterations To Service - Electricity,2014-06-01,13144.25,2014,6
ICT System Improvements,2011-06-01,512120.55,2011,6
Highway Drainage Rodding and Jetting,2011-07-01,24376.3,2011,7
Protective Clothing and Uniforms,2014-01-01,1115.3,2014,1
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,2012-12-01,619.92,2012,12
Highway Bridge Maintenance,2013-02-01,31066.79,2013,2
Supporting Families with Disabilities - Domiciliary Care,2013-01-01,1254.43,2013,1
Consultants Fees,2011-03-01,15050.54,2011,3
Highway Weed spraying,2013-08-01,20393.44,2013,8
Subscriptions To Other Libraries,2011-11-01,908.25,2011,11
Building Alterations & Improvements,2013-05-01,3413.58,2013,5
Contract Taxi Hire,2011-07-01,1750,2011,7
Other Capital,2011-10-01,141315.85,2011,10
Landfill Leachate Costs,2012-11-01,15856.51,2012,11
Bmpp Gas Appliances & Repairs Test,2014-06-01,4192.31,2014,6
Care Leavers-Education/Training,2012-11-01,1270.8,2012,11
Bmpp Minor Building Repairs,2014-05-01,11331.76,2014,5
Other (Photos Etc),2013-03-01,4681,2013,3
Construction Costs-Mobile Classrooms,2012-09-01,472495.21,2012,9
Schedule of Rates Vehicle Maintenance,2012-11-01,48916.67,2012,11
Minimum Revenue Provision - Fixed Asset Depreciation (99600),2011-05-01,13860.25,2011,5
Agency Staff - Operational - Manual,2011-03-01,62291.22,2011,3
Library Books - Adult Fiction,2013-04-01,20446.27,2013,4
Staff Subsistence & Conference Expenses,2012-12-01,19057.76,2012,12
Refuse Collection Costs,2014-04-01,1804.81,2014,4
Highway Emergency Cleansing,2013-04-01,670.7,2013,4
Operational Staff - Scale A to J,2012-04-01,1447.6,2012,4
Customer Research & Insight,2011-01-01,6530,2011,1
Long Term Care with Nursing,2014-03-01,1023722.11,2014,3
School Equipment Inspection/Testing,2011-11-01,9772.19,2011,11
Archaeological Excavation,2011-04-01,4275,2011,4
Lifts Maintenance & Repairs,2012-03-01,3616.5,2012,3
Insurance Premiums Paid -External,2011-06-01,438970,2011,6
Highway Fencing Repairs,2011-03-01,21587.24,2011,3
Premises Insurance,2013-08-01,1237,2013,8
Other Expenses,2012-09-01,10784,2012,9
Care Leavers Personal Allowance/Support,2011-11-01,667,2011,11
Plant Replacements,2012-02-01,18859.67,2012,2
Sundry Purchases,2011-02-01,2089,2011,2
Library Books - Adult Fiction,2013-05-01,38859.09,2013,5
Case Reviews,2011-04-01,5170.65,2011,4
Refuse Collection Costs,2012-08-01,5114.27,2012,8
Operational Staff - Scale K and Above,2012-02-01,32000,2012,2
Highway Emergency Cleansing,2013-05-01,459.96,2013,5
Bmf Electrical & Mechanical Maintenance,2013-07-01,9231.12,2013,7
Agency Staff - Social Services Operational-Other1 April,2012-12-01,87418.87,2012,12
Telephone Rental & Calls,2012-04-01,12823.98,2012,4
Caretakers,2011-11-01,2551.72,2011,11
Direct Payment - One Off Payment To Carers,2013-11-01,1040,2013,11
Rents and Hire of Premises & Facilities,2013-03-01,48319.83,2013,3
Road Maintenance Contractor Payments,2012-04-01,114237.26,2012,4
On-Line Bank Charges,2014-03-01,4170.4,2014,3
Library Books - Large Print,2014-04-01,702,2014,4
Special Guardianship Child In Need,2013-09-01,1100,2013,9
Services of Solicitors Agents,2012-02-01,600,2012,2
Day Care / Supported Activities,2014-02-01,152738.43,2014,2
Learning Resources Purchases,2012-08-01,3553.77,2012,8
Highway Verge Hedge and Tree Maintenance,2012-08-01,207.72,2012,8
Highway Bridge Maintenance,2013-11-01,120695.08,2013,11
Reroofing,2012-08-01,44019.3,2012,8
Library Books-Adult Non Fiction,2011-04-01,861.66,2011,4
Other Capital,2012-10-01,2126.8,2012,10
Audit Fees - Other,2013-07-01,5100,2013,7
Highway Verge Hedge and Tree Maintenance,2014-04-01,105.88,2014,4
Learning Resources Purchases,2014-04-01,498.6,2014,4
Bmf Electrical Installation Testing,2014-01-01,5830.21,2014,1
Construction - Enabling Works,2012-02-01,400,2012,2
Boiler & Heating Repl M&E,2012-01-01,6250,2012,1
Printing Stationery and Photocopying,2012-07-01,55226.85,2012,7
Private Voluntary Independent School Pre-school & Playgroup,2013-08-01,723830.91,2013,8
Short-term Vehicle Hire,2012-05-01,3125.17,2012,5
M&E Other (Schools),2013-09-01,524888.72,2013,9
Security Systems,2011-07-01,5686.89,2011,7
Direct Payment - One Off Payment To Carers,2014-01-01,1647,2014,1
Purchase Of Major Software,2012-05-01,918,2012,5
"Equipment Repairs, Maintenance & Servicing",2013-12-01,107642.09,2013,12
Swimming & Games Facilities,2011-01-01,2606.68,2011,1
External Redecoration,2011-07-01,10040,2011,7
Highway Patching to Carriageway,2013-07-01,171673.76,2013,7
Voluntary Driver Payments,2011-06-01,10121.64,2011,6
Highway Illuminated Signs Energy,2011-06-01,20601.37,2011,6
Private Contractor Subsidy Payments,2011-08-01,337156.29,2011,8
Medical Requisites & Drugs Etc,2014-02-01,1184,2014,2
Buildings - Internal Redecoration,2012-03-01,10750.5,2012,3
Private Contractor Site Operation Payments,2011-02-01,1548664.62,2011,2
Purchase Of Care - M.I.S.G.,2011-03-01,965.5,2011,3
Construction Costs -Roads - ECI - May Gurney,2012-03-01,53250.55,2012,3
Provisions General Residential,2011-03-01,2654.74,2011,3
Other Professional Services,2012-11-01,91292.82,2012,11
Bmf Electrical Installation Testing,2013-11-01,34053.98,2013,11
Own Disbursements Other,2013-08-01,1200,2013,8
Gas (mains supplied),2014-01-01,262.08,2014,1
Highway Traffic Signals and Systems Energy,2011-11-01,15306.2,2011,11
Other Travel Expenses,2012-03-01,1399,2012,3
Spoken Word Cassettes,2013-04-01,107702.8,2013,4
Clients Bus & Rail Passes,2011-03-01,44,2011,3
Highway Gulley Emptying,2013-04-01,72872.19,2013,4
Protective Clothing and Uniforms,2013-02-01,4891.41,2013,2
Contract Cleaning & Other Cleaning Services,2012-09-01,421,2012,9
Gas (LPG) & other Heating Fuels,2011-10-01,417.48,2011,10
Agency Staff - Supply Teachers,2013-07-01,24301.97,2013,7
Contract Plant & Machinery Hire,2013-09-01,90190.9200000001,2013,9
Other Support Costs,2012-03-01,24914.43,2012,3
Temporary Staff Admin & Clerical,2011-12-01,50588.65,2011,12
Service Level Agreement With Organisations Providing Services to NCC,2011-07-01,661154.68,2011,7
Child In Care Residential School 52 Week In Norfolk,2013-01-01,65077.74,2013,1
Bmpp Tank Clean/Water System Disinf,2013-06-01,2127.9,2013,6
Highway Bridge Maintenance,2014-01-01,28071.11,2014,1
Construction Costs - Roads - Amey,2012-10-01,3382.42,2012,10
Laboratory Testing-Works Related,2011-04-01,5807.56,2011,4
Highway Kerb Footway and Cycleway Repairs,2014-02-01,47681.73,2014,2
Spoken Word Cassettes,2013-05-01,17044.45,2013,5
Bmf Generators & Repairs Arising,2013-12-01,2536.89,2013,12
Certificate - Plant Replacement,2011-06-01,37425.21,2011,6
Grant Payments,2012-08-01,182291.12,2012,8
Domiciliary Care,2012-03-01,1902751.76,2012,3
Staff Car & Cycle Allowances,2012-12-01,114.3,2012,12
Grants To Outside Bodies,2014-08-01,1710535.35,2014,8
"Road Fund, Driving & Operators Licences",2014-01-01,880,2014,1
Special Guardianship Child In Need,2014-08-01,6045.33,2014,8
Long Term Care with Nursing,2012-06-01,978080.459999998,2012,6
Hospitality Expenses,2011-09-01,7415.35,2011,9
Grant Payments,2014-04-01,55000,2014,4
Tree Planting/Landscaping Works,2011-05-01,54769.06,2011,5
On-Line Bank Charges,2011-01-01,1402,2011,1
Substance Misuse Budget,2011-01-01,8089.6,2011,1
Vehicle Abuse/Wear & Tear Costs,2012-05-01,8767.58,2012,5
Highway Safety Barriers,2011-06-01,14240,2011,6
Private Contractor Site Operation Payments,2013-10-01,3881702.32,2013,10
Construction - Enabling Works,2011-12-01,1600,2011,12
Maintenance Of Site,2011-01-01,12293.93,2011,1
Custody Fees,2012-09-01,26998.3,2012,9
Broadband Virtual Private Network & Leased Lines,2012-07-01,56842.14,2012,7
Long Term Care with Nursing,2014-07-01,1127206.27,2014,7
Non Staff Advertising - Discretionary,2012-11-01,63707.37,2012,11
Agency Staff - Operational APT&C,2014-06-01,697591.88,2014,6
Catering Supplies,2012-01-01,12252.05,2012,1
Child In Care Agency Fostering,2013-07-01,1036143.06,2013,7
On-Line Bank Charges,2012-06-01,2665.28,2012,6
Buildings Fixtures & Fittings,2013-01-01,4334.11,2013,1
Plant Replacements,2011-12-01,126848.82,2011,12
Customer Research & Insight,2014-03-01,6269,2014,3
Long Term Care with Nursing,2011-01-01,984271.98,2011,1
Protective Clothing and Uniforms,2013-11-01,8776.15,2013,11
Community Based Assessments,2014-02-01,4567.2,2014,2
Adaptation/Improvement-Existing Buildings,2011-03-01,139473.81,2011,3
Highway Rechargeable Works Payments,2011-03-01,146937.07,2011,3
CMW M&E Other,2011-06-01,30676.24,2011,6
DVD'S,2013-01-01,3603.5,2013,1
On-Line Bank Charges,2014-07-01,1912.06,2014,7
Bmf Electrical Installation Testing,2013-02-01,5795.53,2013,2
Equipment Purchases,2011-11-01,80441.97,2011,11
Short Term Care with Nursing,2011-08-01,4967.87,2011,8
Accreditation Scheme Payments,2012-09-01,290334.32,2012,9
Gas Pressure Testing,2011-06-01,363.1,2011,6
Child In Care Residential Home In Norfolk,2013-03-01,290712.64,2013,3
Homelessness Support Child In Need,2011-05-01,6677.84,2011,5
Bmf Asphalting,2014-06-01,2050,2014,6
Payments-Other Bodies-General,2011-05-01,-199325,2011,5
Fire Service Feeding At Fires,2013-10-01,1527.29,2013,10
Service Level Agreement With Organisations Providing Services to NCC,2012-03-01,38134.14,2012,3
Other Support Costs,2011-07-01,454.28,2011,7
Supply Teachers,2013-10-01,681.5,2013,10
Own Disbursements Other,2011-04-01,1142,2011,4
Printing Stationery and Photocopying,2012-05-01,92154.31,2012,5
Site Supervision,2014-02-01,438.82,2014,2
Short-term Vehicle Hire,2012-07-01,12949.5,2012,7
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,2012-06-01,528,2012,6
Other Travel Expenses,2011-07-01,1250,2011,7
Fire Alarms,2011-11-01,11669.28,2011,11
Library Books-Standing Orders,2012-07-01,514.32,2012,7
Other Vehicles Running Costs,2013-11-01,7688.8,2013,11
Highway Winter Snow Clearing,2011-02-01,520,2011,2
Bmpp Structural Builidng Work,2013-10-01,25029,2013,10
Agency Staff - Relief Assistant Warden,2013-03-01,4314.24,2013,3
Operational Staff - Scale A to J,2014-06-01,3000,2014,6
Waste Disposal & Recycling Payments,2011-05-01,131025.21,2011,5
Highway Pothole Repairs,2013-07-01,12425,2013,7
Supporting Families with Disabilities - Domiciliary Care,2012-01-01,1170.22,2012,1
Highway Road Cleansing,2011-10-01,824.84,2011,10
Child In Care Residential Home Out Of Norfolk,2011-09-01,192370.06,2011,9
Library Books - Adult Fiction,2011-12-01,34079.31,2011,12
Direct Payment - Supporting Families with Disabilities -Domiciliary Care,2011-01-01,570,2011,1
Injury Element Of Injured Retained Firemen,2012-03-01,2017.17,2012,3
Equipment General -  Excluding Computer Hardware,2011-02-01,495,2011,2
External Redecoration,2012-03-01,20549.37,2012,3
Providing Financial Assistance to Service Users,2011-02-01,8542.55,2011,2
Display Materials,2011-04-01,6826,2011,4
Telephone Rental & Calls,2014-06-01,19099.42,2014,6
Building Maintenance & Repairs,2012-11-01,102736.44,2012,11
Child In Care Residential Education Only,2013-12-01,27778.16,2013,12
Security Systems,2012-03-01,16012.84,2012,3
Road Maintenance Contractor Payments,2014-06-01,37450.92,2014,6
Bmpp School Equipment Inspection/Test,2012-11-01,8794.02,2012,11
Fire Service Radio Equipment - Running Costs,2013-07-01,7226.6,2013,7
Staff Subsistence & Conference Expenses,2011-01-01,7976.17,2011,1
Other Vehicles Running Costs,2013-02-01,823.7,2013,2
Vehicle Fuel,2013-10-01,38153.88,2013,10
Teaching Support,2011-06-01,6030,2011,6
Agency Staff - Operational Hay & M,2012-04-01,11904.18,2012,4
Highway Patching to Carriageway and Footway,2013-12-01,204,2013,12
Building Alterations & Improvements,2011-12-01,31893.83,2011,12
Highway Road Sign Maintenance,2012-11-01,5094.28,2012,11
Alterations To Service - Electricity,2012-04-01,4682,2012,4
Postage & Postal Services,2014-08-01,5243.29,2014,8
Agency Staff - Sessional Tutors,2013-12-01,126448.23,2013,12
Bmpp Building Repairs,2013-12-01,42904.98,2013,12
Operational Equipment - Purchase,2011-06-01,784.39,2011,6
Exhibition Expenses,2011-01-01,614,2011,1
Operational - Manual,2012-10-01,855.48,2012,10
Vehicle Repair Costs,2013-07-01,9843.3,2013,7
Highway Gulley Emptying,2012-02-01,124367.56,2012,2
Bmpp Electrical Installation Testing,2013-03-01,17410.02,2013,3
Spoken Word Cassettes,2012-02-01,9623.48,2012,2
Agency Staff - Social Services Operational-Other1 April,2012-06-01,14759.65,2012,6
Highway Scanner Machine Road Surface Condition Survey,2011-01-01,57417.24,2011,1
Placement Cost - Agency Fee,2014-08-01,28667,2014,8
Staff Subsistence & Conference Expenses,2014-07-01,11403.14,2014,7
Boiler & Heating Repl M&E,2013-01-01,226730.31,2013,1
Bmpp Security Systems,2014-06-01,2132.95,2014,6
Highway Rechargeable Works Payments,2013-03-01,89497.39,2013,3
Adaptation/Improvement-Existing Buildings,2013-03-01,10145.8,2013,3
Bmpp Tank Clean/Water System Disinf,2013-08-01,18200.77,2013,8
Direct Payment - Day Care Services / Supported Activities,2013-10-01,66.85,2013,10
Awards Or Grants For School Children Students & Learners,2011-06-01,86993.33,2011,6
Contract Transport  Hire,2012-04-01,2015851.7,2012,4
Staff Car & Cycle Allowances,2014-03-01,533.39,2014,3
Highway Winter Salt Usage,2012-04-01,168244.7,2012,4
Own Disbursements Other,2013-06-01,3119,2013,6
Domiciliary Care,2011-07-01,943850.550000002,2011,7
Staff Subsistence & Conference Expenses,2012-06-01,9301.19,2012,6
"Printing, Stationery and Photocopying",2014-07-01,18987.34,2014,7
Compact Discs,2014-04-01,482.28,2014,4
Purchase Of IT,2013-09-01,50692.32,2013,9
Free Nursing Care,2012-09-01,22161.45,2012,9
Adoption Allowance Payments,2011-02-01,9563.64,2011,2
Agency Staff - Operational APT&C,2012-04-01,104036.98,2012,4
Minor Building Repairs,2011-05-01,34333.67,2011,5
Sessional Fees,2011-08-01,56740.1,2011,8
Swimming & Games Facilities,2012-12-01,5819,2012,12
Contract Taxi Hire,2012-03-01,2350,2012,3
Library Books - Adult Fiction,2012-02-01,41998.44,2012,2
Phone Rentals,2011-01-01,50312.15,2011,1
ICT Other Running Costs,2011-09-01,2500,2011,9
Personal Budget - Day Care,2011-04-01,10422.28,2011,4
Highway Drainage Rodding and Jetting,2012-03-01,63209.74,2012,3
Library Books - Junior Fiction,2011-11-01,5457.75,2011,11
Cost of Educational Visits and Games,2013-10-01,450,2013,10
Agency Staff - Permanent Teachers,2012-03-01,4882.15,2012,3
Operational Staff - Scale K and Above,2013-04-01,1268.08,2013,4
Staff Training Costs,2011-10-01,34624.83,2011,10
Fees & Charges,2014-04-01,660789.22,2014,4
Construction - Enabling Works,2013-05-01,76089.4,2013,5
Architects Fees,2012-10-01,1000,2012,10
Other Hired & Contracted Services,2011-08-01,1459276.42,2011,8
Private Voluntary Independent School Pre-school & Playgroup,2013-06-01,421999.91,2013,6
Personal Budget - Respite Residential Care,2012-09-01,13482.17,2012,9
Agency Staff - Operational - Manual,2013-03-01,74403.09,2013,3
Local Land Charges Fees,2014-03-01,441.73,2014,3
Archive Boxes,2011-03-01,6432.28,2011,3
Short Term Residential Care,2011-07-01,71454.79,2011,7
Equipment Purchases For Service Users,2014-04-01,275993.27,2014,4
Electrical Installation Testing,2011-10-01,30874.25,2011,10
Electrical & Mechanical Maintenance.,2011-03-01,26884.68,2011,3
Vehicle Abuse/Wear & Tear Costs,2012-07-01,889.95,2012,7
Certificate - Building Fabric,2012-10-01,74125.78,2012,10
Services of Solicitors Agents,2013-05-01,2000,2013,5
Construction Cost-Adaptation/Improvement Building,2011-07-01,3576612.38,2011,7
Fees & Charges,2012-08-01,79651.23,2012,8
Broadband Virtual Private Network & Leased Lines,2012-05-01,97875.26,2012,5
Purchase of Care - Unspecified,2011-03-01,24475.51,2011,3
Library Books - Electronic Subscriptions,2014-05-01,1680,2014,5
Equipment Purchases For Service Users,2012-08-01,95059.76,2012,8
RCHG Vehicles Hired from a Central Pool,2012-08-01,735.16,2012,8
General Repairs,2011-04-01,536.14,2011,4
Services Provided By Landlord,2014-05-01,4776.89,2014,5
Adoption Allowance Payments,2013-10-01,15372.66,2013,10
Highway Gulley Emptying,2011-12-01,53090.74,2011,12
Spoken Word Cassettes,2011-12-01,691,2011,12
Highway Visual Road and Footway Condition Survey,2012-02-01,22081.8,2012,2
Foster Parents Payments,2014-05-01,188127.43,2014,5
Staff Car & Cycle Allowances,2011-01-01,2562.83,2011,1
Library Books-Adult Non Fiction,2013-08-01,551.88,2013,8
Other Vehicles Running Costs,2014-01-01,504.2,2014,1
School House Maintenance.,2014-07-01,862.44,2014,7
Admin/ Chief Officers - Scale K and Above,2012-09-01,8000,2012,9
Rents and Hire of Premises & Facilities,2011-03-01,83687.6,2011,3
Construction-Eci-Highways Operations Payment System,2013-04-01,194.57,2013,4
Actuarial Fees - Gen,2012-08-01,1735,2012,8
Construction Costs - Roads - HOPS,2012-11-01,7402.92,2012,11
Private Voluntary Independent School Pre-school & Playgroup,2011-04-01,251083.85,2011,4
Contract Overheads,2014-02-01,145000,2014,2
Agency Staff - Drivers,2011-09-01,8014.24,2011,9
Contact Arrangements,2013-03-01,4825,2013,3
Anglian Water - Land Drainage Precept,2011-01-01,173051,2011,1
Placement Cost - Agency Fee,2013-09-01,1000,2013,9
Temporary Staff Admin & Clerical,2013-05-01,8672.59,2013,5
Purchase Nursing Preserved Rights,2011-05-01,29189.6,2011,5
Alterations To Service - Telecom,2013-07-01,812.04,2013,7
Water and Sewerage Costs,2014-02-01,8677.09,2014,2
Purchase Of IT,2014-08-01,316852.45,2014,8
Agency Staff - Admin & Clerical - Scale A to J,2012-11-01,57928.29,2012,11
On-Line Bank Charges,2012-12-01,2553.95,2012,12
Equipment Inspection/Testing,2012-02-01,271.6,2012,2
Highway Fencing Repairs,2013-03-01,3769.07,2013,3
Temporary Staff Admin & Clerical,2013-04-01,7527.53,2013,4
Cost of Educational Visits and Games,2011-02-01,15820.09,2011,2
Boiler Servicing,2011-11-01,37854.13,2011,11
Animal Feeding Stuffs,2011-01-01,2464,2011,1
Actuarial Fees - Gen,2014-04-01,13135,2014,4
Purchase Residential Preserved Rights,2011-02-01,357943.51,2011,2
Staff Training Costs,2012-10-01,39443.84,2012,10
Electricity,2014-05-01,113089.21,2014,5
School House Maintenance.,2011-01-01,4753.8,2011,1
Fuel Oil,2011-06-01,2341.08,2011,6
Construction Costs Roads Other,2014-06-01,94454.71,2014,6
Panel Funded Staff,2011-07-01,1968.12,2011,7
Architects Fees,2011-10-01,343944.5,2011,10
Postage & Postal Services,2013-09-01,10122.61,2013,9
"Printing, Stationery and Photocopying",2014-03-01,8305.53,2014,3
Buildings Fixtures & Fittings,2012-01-01,17527.3,2012,1
Canteen Equipment - Repairs,2011-05-01,470.75,2011,5
DVD'S,2012-01-01,6886.82,2012,1
Building Alterations & Improvements,2012-02-01,14410.01,2012,2
Staff Car & Cycle Allowances,2014-07-01,355.5,2014,7
Purchase Of Major Software,2012-07-01,1012.99,2012,7
Highway Street Lighting Energy,2011-05-01,103735.62,2011,5
Construction-Eci-Management,2011-07-01,36686.94,2011,7
Staff Subsistence & Conference Expenses,2014-03-01,5902.39,2014,3
Electrical Installation Testing,2012-10-01,32875.47,2012,10
Long Term Care with Nursing,2012-12-01,968814.879999998,2012,12
Certificate - Building Fabric,2011-10-01,39063.02,2011,10
Lifts Maintenance & Repairs,2011-07-01,880.05,2011,7
Highway Traffic Signals and Systems Planned and Contracted Maintenance,2012-09-01,58280.08,2012,9
Personal Budget - Day Care,2013-06-01,103861.46,2013,6
"Non Staff Course, Conference & Subsistence Expenses",2014-05-01,22973.67,2014,5
Staff Car & Cycle Allowances,2012-06-01,146.7,2012,6
CONSTR COSTS - M&E OTHER,2012-09-01,6319.65,2012,9
General Equipment/Tools/Materials-Purchase,2011-01-01,28235.85,2011,1
Site Invest/Surveys,2011-03-01,13954.49,2011,3
ICT Software Purchases Licenses & Maintenance,2013-10-01,186716.28,2013,10
Bmf Gas Appliances & Repairs Test,2014-08-01,813.44,2014,8
Compensation & Ex-Gratia Payments,2012-02-01,1042,2012,2
Temporary Staff Admin & Clerical,2013-12-01,16113.6,2013,12
Traffic Signals and Systems Accident Damage,2014-04-01,2429.78,2014,4
Staff Advertising  Expenses,2013-03-01,4720.14,2013,3
Foster Parents Payments,2013-07-01,164452.82,2013,7
Special Guardianship Child In Need,2011-06-01,3840,2011,6
General,2011-03-01,18065,2011,3
Section 17 Financial Assistance,2013-02-01,7628.7,2013,2
Highway Traffic Signals and Systems Outstation Communication Maintenance,2012-02-01,18434.76,2012,2
Direct Payment - Domiciliary Care,2011-01-01,18895.47,2011,1
Grants To Outside Bodies,2011-06-01,20278,2011,6
Non Staff Advertising - Discretionary,2014-02-01,42915.43,2014,2
Admin & Clerical - Scale A to J,2011-03-01,25034.32,2011,3
Grounds Maintenance Costs,2012-03-01,6787.11,2012,3
Bmpp Boiler Servicing,2014-07-01,75698.63,2014,7
Highway Street Lighting Energy,2012-04-01,129707.35,2012,4
Child In Care Residential School 52 Week Out Of Norfolk,2011-07-01,74188.84,2011,7
External Examinations Fees,2012-05-01,2991.7,2012,5
Electricity,2013-07-01,100707.25,2013,7
Direct Payment - Domiciliary Care,2014-07-01,280407.49,2014,7
Highway Road Markings,2013-11-01,85732.6,2013,11
Construction Costs - Roads - Management,2011-04-01,871501.4,2011,4
Hospitality Expenses,2011-08-01,5241.79,2011,8
Vehicle  Leasing Costs,2014-07-01,20894.74,2014,7
Grant Payments,2011-11-01,156780.56,2011,11
Bmpp Electrical & Mechanical Maintenance,2013-10-01,9848.85,2013,10
Bmf Plant Replacements,2014-07-01,8155.02,2014,7
Bmpp Plant Replacements,2014-01-01,8897.39,2014,1
Disturbance Payment,2012-07-01,709,2012,7
Operational Staff Overtime,2011-05-01,-2818.98,2011,5
Short-term Vehicle Hire,2013-01-01,1998.56,2013,1
Direct Payment - Domiciliary Care,2012-06-01,17141.78,2012,6
Highway Winter Salt Barn Availability Charge under PFI,2012-03-01,38169.18,2012,3
Engineering Design Fees,2013-02-01,252696.33,2013,2
Staff Public Transport Costs,2011-10-01,3596.05,2011,10
Personal Budget - Long Term Nursing Care,2011-06-01,4637.2,2011,6
Community Based Assessments,2012-11-01,2683.33,2012,11
Other Operational Equipment-Purchase,2011-03-01,5510.61,2011,3
Bmf Tank Clean/Water System Disinf,2014-03-01,3624.03,2014,3
Bmf Reroofing,2013-10-01,4908,2013,10
ICT Software Purchases Licenses & Maintenance,2011-02-01,61955.44,2011,2
ICT System Improvements,2013-09-01,14376.49,2013,9
Private Finance Initiative Payments,2012-06-01,511040.32,2012,6
Highway Traffic Signals and Systems Energy,2012-08-01,13293.05,2012,8
Bmpp Gas Pressure Testing,2014-01-01,608.76,2014,1
Payments to Organisations Providing Services To NCC,2014-07-01,1033986.36,2014,7
Printing Stationery and Photocopying,2012-01-01,109229.34,2012,1
Boiler & Heating Repl M&E,2012-07-01,42200,2012,7
Professional Fees Building Maintenance,2012-01-01,112996.42,2012,1
Support Staff Overtime,2012-04-01,103.59,2012,4
Cleaning Materials Purchases,2014-01-01,4107.13,2014,1
